, file_name, tagged_person, cropped_image_file_name, recognized_person, correct?
0,366-1.jpg,Chia-wei Woo,366-1_cropped.jpg,0,0
1,CONF HERA_004_SM.jpg,Chia-wei Woo,CONF HERA_004_SM_cropped.jpg,0,0
2,CER KEL_003_SM.jpg,Chia-wei Woo,CER KEL_003_SM_cropped.jpg,0,0
3,CER W3C3_001_SM.jpg,Chia-wei Woo,CER W3C3_001_SM_cropped.jpg,0,0
4,CONG 7_044.jpg,Chia-wei Woo,CONG 7_044_cropped.jpg,Chia-wei Woo,1
5,EXH MIA01_X4_SM.jpg,Chia-wei Woo,EXH MIA01_X4_SM_cropped.jpg,0,0
6,DON SOC_001_SC.jpg,Chia-wei Woo,DON SOC_001_SC_cropped.jpg,0,0
7,DIS AL_001_SM.jpg,Chia-wei Woo,DIS AL_001_SM_cropped.jpg,0,0
8,DIS AL_002_SM.jpg,Chia-wei Woo,DIS AL_002_SM_cropped.jpg,0,0
9,DIS HKE__036_SM.jpg,Chia-wei Woo,DIS HKE__036_SM_cropped.jpg,0,0
10,Cnews SP 99_P8-3_SM.jpg,Chia-wei Woo,Cnews SP 99_P8-3_SM_cropped.jpg,0,0
11,330-2.jpg,Chia-wei Woo,330-2_cropped.jpg,0,0
12,358-9.jpg,Chia-wei Woo,358-9_cropped.jpg,Chia-wei Woo,1
13,358-9.jpg,Chia-wei Woo,358-9_cropped.jpg,0,0
14,VIS A_LAM_015_SM.jpg,Chia-wei Woo,VIS A_LAM_015_SM_cropped.jpg,0,0
15,416-4.jpg,Chia-wei Woo,416-4_cropped.jpg,0,0
16,419-15.jpg,Chia-wei Woo,419-15_cropped.jpg,0,0
17,INA AA_PU_003_SM.jpg,Chia-wei Woo,INA AA_PU_003_SM_cropped.jpg,0,0
18,388-13.jpg,Chia-wei Woo,388-13_cropped.jpg,0,0
19,TOP STU_008_SM.jpg,Chia-wei Woo,TOP STU_008_SM_cropped.jpg,0,0
20,COU ACI_007_SM.jpg,Chia-wei Woo,COU ACI_007_SM_cropped.jpg,Chia-wei Woo,1
21,COU ACI_005_SM.jpg,Chia-wei Woo,COU ACI_005_SM_cropped.jpg,Chia-wei Woo,1
22,COU SITE_003_SM.jpg,Chia-wei Woo,COU SITE_003_SM_cropped.jpg,0,0
23,CMT UCL_009_SM.jpg,Chia-wei Woo,CMT UCL_009_SM_cropped.jpg,0,0
24,CMT UCL_009_SM.jpg,Chia-wei Woo,CMT UCL_009_SM_cropped.jpg,Chia-wei Woo,1
25,290-8.jpg,Chia-wei Woo,290-8_cropped.jpg,0,0
26,OPN CER_008_SM.jpg,Chia-wei Woo,OPN CER_008_SM_cropped.jpg,0,0
27,VIS PAT_018_SM.jpg,Chia-wei Woo,VIS PAT_018_SM_cropped.jpg,0,0
28,VIS PAT_021_SM.jpg,Chia-wei Woo,VIS PAT_021_SM_cropped.jpg,0,0
29,VIS PAT_042_SM.jpg,Chia-wei Woo,VIS PAT_042_SM_cropped.jpg,Chia-wei Woo,1
30,VIS DBC_015_SM.jpg,Chia-wei Woo,VIS DBC_015_SM_cropped.jpg,0,0
31,282-32.jpg,Chia-wei Woo,282-32_cropped.jpg,0,0
32,DON DCC_024_SM.jpg,Chia-wei Woo,DON DCC_024_SM_cropped.jpg,0,0
33,DON MONG_005_SM.jpg,Chia-wei Woo,DON MONG_005_SM_cropped.jpg,0,0
34,STU_ATH_073SM.jpg,Chia-wei Woo,STU_ATH_073SM_cropped.jpg,0,0
35,CONG 1_013_SM8.jpg,Chia-wei Woo,CONG 1_013_SM8_cropped.jpg,0,0
36,Patten Visit_1-10.jpg,Chia-wei Woo,Patten Visit_1-10_cropped.jpg,0,0
37,OPN REP_002_SM.jpg,Chia-wei Woo,OPN REP_002_SM_cropped.jpg,0,0
38,372-1.jpg,Chia-wei Woo,372-1_cropped.jpg,0,0
39,DON PRE_002_SM.jpg,Chia-wei Woo,DON PRE_002_SM_cropped.jpg,0,0
40,942_03.jpg,Chia-wei Woo,942_03_cropped.jpg,0,0
41,942_04.jpg,Chia-wei Woo,942_04_cropped.jpg,Chia-wei Woo,1
